task,model,metric,value
type,bert-base-historic-dutch-cased,F1,0.249917
type,bert-base-historic-dutch-cased,Accuracy,0.397959
type,bert-base-historic-dutch-cased,Precision,0.371221
type,bert-base-historic-dutch-cased,Recall,0.325572
